ta_id,ta_slug,ta_name,ea_id,ea_slug,ea_name,match_type,confidence,distance_m,name_distance,images_count
1466,denver-milk-market,Denver Milk Market,469,denver-milk-market,Denver Milk Market,slug_geo,1.0,21.1,0,5
1467,garage-sale-vintage-denver,Garage Sale Vintage - Denver,,,,no_match,0.0,,,5
1468,hello-darling,Hello Darling,470,hello-darling,Hello Darling,slug_geo,1.0,34.3,0,5
1469,prost-brewing-company,Prost Brewing Company,468,prost-brewing-company,Prost Brewing Company,slug_geo,1.0,5.2,0,5
1470,flora,Flora,473,flora,Flora,slug_geo,1.0,0.0,0,5
1471,the-fainting-goat-pub,The Fainting Goat Pub,474,the-fainting-goat-pub,The Fainting Goat Pub,slug_geo,1.0,12.2,0,5
1472,denver-biscuit-company-the-stanley-marketplace,Denver Biscuit Company @ The Stanley Marketplace,475,denver-biscuit-company-the-stanley-marketplace,Denver Biscuit Company @ The Stanley Marketplace,slug_geo,1.0,33.9,0,5
1473,zuni-street-brewing-co,Zuni Street Brewing Co,480,zuni-street-brewing-co,Zuni Street Brewing Co,slug_geo,1.0,11.2,0,5
1474,baere-brewing-company,Baere Brewing Company,,,,no_match,0.0,,,3
1475,denver-beer-co-lowry,Denver Beer Co. - Lowry,483,denver-beer-co-lowry,Denver Beer Co. - Lowry,slug_geo,1.0,0.1,0,5
1476,lowry-beer-garden,Lowry Beer Garden,492,lowry-beer-garden,Lowry Beer Garden,slug_only,0.85,53.5,0,5
1477,origins-bar-wash-park,Origins Bar (Wash Park),496,origins-bar-wash-park,Origins Bar (Wash Park),slug_geo,1.0,5.4,0,5
1478,the-irish-rover,The Irish Rover,500,the-irish-rover,The Irish Rover,slug_geo,1.0,9.7,0,5
1479,atomic-cowboy-south-broadway,Atomic Cowboy - South Broadway,508,atomic-cowboy-south-broadway,Atomic Cowboy - South Broadway,slug_geo,1.0,3.0,0,5
1480,the-molecule-effect,The Molecule Effect,,,,no_match,0.0,,,5
1481,hello-darling-west-highlands,Hello Darling - West Highlands,511,hello-darling-west-highlands,Hello Darling - West Highlands,slug_geo,1.0,0.1,0,5
1482,hops-pie,Hops & Pie,516,hops-pie,Hops & Pie,slug_geo,1.0,0.1,0,5
1483,atomic-cowboy-tennyson,Atomic Cowboy - Tennyson,526,atomic-cowboy-tennyson,Atomic Cowboy - Tennyson,slug_geo,1.0,16.8,0,5
1484,the-patio-at-sloans,The Patio at Sloans,,,,no_match,0.0,,,5
1485,gregs-kitchen-taphouse,Greg's Kitchen & Taphouse,527,gregs-kitchen-taphouse,Greg's Kitchen & Taphouse,slug_geo,1.0,8.8,0,5
1486,barfly-alamo-drafthouse-sloans-lake,BarFly @Alamo Drafthouse Sloans Lake,534,barfly-alamo-drafthouse-sloans-lake,BarFly @Alamo Drafthouse Sloans Lake,slug_geo,1.0,7.8,0,5
1487,omarleys-stirling,O'Marleys Stirling,,,,no_match,0.0,,,5
1488,joe-willys-on-broadway,Joe Willy's on Broadway,,,,no_match,0.0,,,5
1489,rolling-smoke-bbq-wheat-ridge,Rolling Smoke BBQ - Wheat Ridge,,,,no_match,0.0,,,5
1490,the-grandview-tavern-and-grill,The Grandview Tavern and Grill,568,the-grandview-tavern-and-grill,The Grandview Tavern and Grill,slug_geo,1.0,9.5,0,5
1491,denver-beer-co-olde-town-arvada,Denver Beer Co (Olde Town Arvada),576,denver-beer-co-olde-town-arvada,Denver Beer Co (Olde Town Arvada),slug_geo,1.0,9.5,0,5
1492,brewability,Brewability,581,brewability,Brewability,slug_geo,1.0,0.0,0,5
1493,pandoras-box-alamo-drafthouse-westminster,Pandora's Box @Alamo Drafthouse Westminster,,,,no_match,0.0,,,5
1494,peckish,Peckish,601,peckish,Peckish,slug_geo,1.0,0.0,0,5
1495,pizza-shoppe,Pizza Shoppe,,,,no_match,0.0,,,5
1496,dinsey-princesses-quiz-vol-1-at-dave-and-busters-westminster,Dinsey Princesses Quiz Vol. 1 at Dave and Buster's - Westminster,,,,no_match,0.0,,,5
1497,the-scarlet-tap,THE SCARLET TAP,,,,no_match,0.0,,,5
1498,landlocked-ales,LandLocked Ales,605,landlocked-ales,LandLocked Ales,slug_geo,1.0,24.6,0,5
1499,30-70-sports-bar-grill,30/70 Sports Bar & Grill,606,30-70-sports-bar-grill,30/70 Sports Bar & Grill,slug_geo,1.0,18.9,0,5
1500,fade-it-golf-and-social-club,Fade It Golf and Social Club,,,,no_match,0.0,,,5
1501,denver-beer-co-littleton,Denver Beer Co. - Littleton,607,denver-beer-co-littleton,Denver Beer Co. - Littleton,slug_geo,1.0,0.0,0,5
1502,luki-brewery,LUKI Brewery,608,luki-brewery,LUKI Brewery,slug_geo,1.0,0.0,0,5
1503,casa-video-film-bar,Casa Video & Film Bar,,,,no_match,0.0,,,5
1504,star-wars-quiz-vol-1-at-4-noses-brewing-company-broomfield,Star Wars Quiz Vol. 1 at 4 Noses Brewing Company - Broomfield,,,,no_match,0.0,,,5
1505,oneills-kingston,O'Neills- Kingston,,,,no_match,0.0,,,5
1506,chippers-lanes-100-nickel,Chipper's Lanes - 100 Nickel,611,chippers-lanes-100-nickel,Chipper's Lanes - 100 Nickel,slug_geo,1.0,4.3,0,5
1507,breckenridge-brewery,Breckenridge Brewery,612,breckenridge-brewery,Breckenridge Brewery,slug_geo,1.0,0.0,0,5
1508,max-taps-co-centennial,Max Taps Co. Centennial,614,max-taps-co-centennial,Max Taps Co. Centennial,slug_geo,1.0,6.8,0,5
1509,glass-half-full-alamo-drafthouse-littleton-tuesday,Glass Half Full @Alamo Drafthouse Littleton (Tuesday),,,,no_match,0.0,,,5
1510,hindley-arms,Hindley Arms,,,,no_match,0.0,,,5
1511,max-taps-co,Max Taps Co.,616,max-taps-co,Max Taps Co.,slug_geo,1.0,39.0,0,5
1512,atomic-cowboy-centennial,Atomic Cowboy - Centennial,618,atomic-cowboy-centennial,Atomic Cowboy - Centennial,slug_geo,1.0,4.0,0,5
1513,the-bobbin-aberdeen,The Bobbin,920,the-bobbin-aberdeen,The Bobbin,slug_geo,1.0,4.4,0,5
1514,via-313-pizza-lone-tree,Via 313 Pizza - Lone Tree,621,via-313-pizza-lone-tree,Via 313 Pizza - Lone Tree,slug_geo,1.0,0.1,0,5
1515,the-ark-glasgow,The Ark,,,,no_match,0.0,,,5
1516,atomic-cowboy-golden,Atomic Cowboy - Golden,617,atomic-cowboy-golden,Atomic Cowboy - Golden,slug_geo,1.0,0.0,0,5
1517,hope-and-vincent,Hope and Vincent,,,,no_match,0.0,,,5
1518,the-bluegrass-lounge-candelas,The Bluegrass Lounge - Candelas,620,the-bluegrass-lounge-candelas,The Bluegrass Lounge - Candelas,slug_geo,1.0,11.9,0,5
1519,dillingers,Dillinger's,624,dillingers,Dillinger's,slug_geo,1.0,45.9,0,5
1520,gravity-brewing,Gravity Brewing,625,gravity-brewing,Gravity Brewing,slug_geo,1.0,12.2,0,5
1521,post-chicken-beer-lafayette,Post Chicken & Beer - Lafayette,,,,no_match,0.0,,,5
1522,12degree-brewing,12Degree Brewing,628,12degree-brewing,12Degree Brewing,slug_geo,1.0,18.0,0,5
1523,ghost-box-pizza,Ghost Box Pizza,627,ghost-box-pizza,Ghost Box Pizza,slug_geo,1.0,7.7,0,5
1524,tiki-underground,Tiki Underground,,,,no_match,0.0,,,5
1525,liquid-mechanics-brewing,Liquid Mechanics Brewing,629,liquid-mechanics-brewing,Liquid Mechanics Brewing,slug_geo,1.0,22.7,0,5
1526,cactus-jacks-saloon-grill,Cactus Jack's Saloon & Grill,630,cactus-jacks-saloon-grill,Cactus Jack's Saloon & Grill,slug_geo,1.0,14.0,0,5
1527,upslope-brewing-co,Upslope Brewing Co.,631,upslope-brewing-co,Upslope Brewing Co.,slug_geo,1.0,14.6,0,5
1528,wild-provisions-beer-project,Wild Provisions Beer Project,,,,no_match,0.0,,,5
1529,boulder-social,Boulder Social,633,boulder-social,Boulder Social,slug_geo,1.0,0.0,0,5
1530,the-feathers,The Feathers,,,,no_match,0.0,,,5
1531,star-wars-quiz-vol-1-at-backcountry-pizza-and-taphouse,Star Wars Quiz Vol. 1 at Backcountry Pizza and Taphouse,,,,no_match,0.0,,,5
1532,the-granta,The Granta,,,,no_match,0.0,,,5
1533,garage-sale-vintage-boulder,Garage Sale Vintage - Boulder,,,,no_match,0.0,,,5
1534,the-merchant-glasgow,The Merchant,,,,no_match,0.0,,,5
1535,slug-lettuce,Slug & Lettuce,,,,no_match,0.0,,,5
1536,the-spice-ship,The Spice Ship,,,,no_match,0.0,,,5
1537,the-local-drive,The Local Drive,,,,no_match,0.0,,,5
1538,wild-blue-yonder-brewing-co,Wild Blue Yonder Brewing Co.,637,wild-blue-yonder-brewing-co,Wild Blue Yonder Brewing Co.,slug_geo,1.0,12.1,0,5
